Sign Name,Confidence,Bounding Box
Speed Limit 110,0.28,"[[136.65553283691406, 210.70187377929688, 147.5408477783203, 226.81460571289062]]"
Speed Limit 50,0.59,"[[269.6400146484375, 218.4079132080078, 274.5378723144531, 227.56797790527344]]"
Speed Limit 50,0.45,"[[240.97000122070312, 224.78785705566406, 244.40463256835938, 229.3732147216797]]"
Speed Limit 50,0.70,"[[269.4077453613281, 218.2779998779297, 274.46038818359375, 227.48619079589844]]"
Speed Limit 50,0.54,"[[240.9967041015625, 224.82705688476562, 244.48585510253906, 229.22344970703125]]"
Speed Limit 50,0.66,"[[277.2468566894531, 216.49046325683594, 282.7562255859375, 226.78175354003906]]"
Speed Limit 50,0.55,"[[242.9180908203125, 224.11300659179688, 247.24307250976562, 229.51756286621094]]"
Speed Limit 110,0.35,"[[122.3057861328125, 205.41326904296875, 135.9931640625, 224.47344970703125]]"
Speed Limit 110,0.71,"[[112.297119140625, 201.99334716796875, 127.4125747680664, 223.61770629882812]]"
Speed Limit 90,0.44,"[[99.7225570678711, 197.19125366210938, 116.89418029785156, 221.85418701171875]]"
Speed Limit 90,0.60,"[[65.46251678466797, 184.4242401123047, 84.9638900756836, 215.63665771484375]]"
Speed Limit 80,0.40,"[[65.5280532836914, 184.49819946289062, 84.88607788085938, 215.742431640625]]"
Speed Limit 80,0.33,"[[282.6312255859375, 219.3039093017578, 287.82366943359375, 227.05526733398438]]"
Speed Limit 50,0.81,"[[250.4081573486328, 222.39080810546875, 255.0616912841797, 229.07290649414062]]"
Speed Limit 50,0.64,"[[306.4080810546875, 209.0278778076172, 315.8172912597656, 223.7496795654297]]"
Speed Limit 50,0.41,"[[41.532310485839844, 173.88352966308594, 61.39813232421875, 211.7071533203125]]"
Speed Limit 90,0.32,"[[41.605533599853516, 174.0161590576172, 61.572818756103516, 212.02774047851562]]"
Speed Limit 50,0.65,"[[312.53118896484375, 205.7705841064453, 323.5117492675781, 223.15118408203125]]"
Speed Limit 50,0.56,"[[242.49884033203125, 222.16217041015625, 247.3455810546875, 229.0650177001953]]"
Speed Limit 50,0.60,"[[311.21142578125, 204.600830078125, 323.0899963378906, 222.2156524658203]]"
Speed Limit 50,0.52,"[[232.14878845214844, 222.35186767578125, 237.04806518554688, 229.83424377441406]]"
Speed Limit 50,0.72,"[[221.7217254638672, 221.9801483154297, 226.71978759765625, 229.79403686523438]]"
Speed Limit 50,0.70,"[[210.8209686279297, 221.2788543701172, 216.2010955810547, 229.32894897460938]]"
Speed Limit 50,0.46,"[[310.2873229980469, 200.40304565429688, 324.9764404296875, 221.9362030029297]]"
Speed Limit 50,0.84,"[[186.82687377929688, 220.10067749023438, 193.287353515625, 228.9387969970703]]"
Speed Limit 50,0.57,"[[315.341796875, 194.0296173095703, 332.3859558105469, 220.3643035888672]]"
Speed Limit 50,0.89,"[[173.97140502929688, 218.82080078125, 180.64730834960938, 228.7913055419922]]"
Speed Limit 50,0.46,"[[321.562744140625, 188.874267578125, 339.7274169921875, 218.91519165039062]]"
Speed Limit 50,0.74,"[[144.83648681640625, 216.0681915283203, 152.3009796142578, 227.15817260742188]]"
Speed Limit 50,0.59,"[[344.1409912109375, 174.26724243164062, 363.8826904296875, 213.3602294921875]]"
Speed Limit 50,0.84,"[[127.96846771240234, 214.06175231933594, 136.4442138671875, 225.90338134765625]]"
Speed Limit 50,0.51,"[[363.8227233886719, 162.08065795898438, 381.60308837890625, 209.48300170898438]]"
Speed Limit 110,0.45,"[[134.8226318359375, 211.04010009765625, 145.27149963378906, 226.15463256835938]]"
Speed Limit 110,0.71,"[[129.2299041748047, 208.96853637695312, 141.0323486328125, 225.47918701171875]]"
Speed Limit 110,0.53,"[[122.55923461914062, 205.95394897460938, 135.5873565673828, 224.038818359375]]"
Speed Limit 50,0.78,"[[89.95796966552734, 208.32359313964844, 99.27057647705078, 223.03919982910156]]"
Speed Limit 50,0.78,"[[89.95730590820312, 208.3267059326172, 99.27413940429688, 223.03826904296875]]"
Speed Limit 110,0.77,"[[113.50747680664062, 202.4853515625, 128.02288818359375, 223.6865997314453]]"
Speed Limit 50,0.65,"[[70.27291107177734, 203.984375, 80.48995971679688, 220.19847106933594]]"
Speed Limit 110,0.82,"[[102.89383697509766, 198.50096130371094, 118.82129669189453, 222.1753387451172]]"
Speed Limit 50,0.74,"[[64.80511474609375, 201.40599060058594, 75.831787109375, 219.39450073242188]]"
Speed Limit 110,0.67,"[[89.22831726074219, 193.1142120361328, 106.24678039550781, 220.49696350097656]]"
Speed Limit 50,0.80,"[[64.83969116210938, 201.42172241210938, 75.80608367919922, 219.43096923828125]]"
